MQ2_H2_1,MQ2_H2_2,MQ4_H2_1,MQ4_H2_2,MQ6_H2_1,MQ6_H2_2,MQ7_H2_1,MQ7_H2_2,MQ8_H2_1,MQ8_H2_2,MQ2_CO_1,MQ2_CO_2,MQ7_CO_1,MQ7_CO_2,MG811_CO2_1,MG811_CO2_2,MQ2_CH4_1,MQ2_CH4_2,MQ4_CH4_1,MQ4_CH4_2,MQ9_CH4_1,MQ9_CH4_2,MQ3_C6H6_1,MQ3_C6H6_2,MQ2_C3H8_1,MQ2_C3H8_2,MQ3_OH_1,MQ3_OH_2,MQ2_LPG_1,MQ2_LPG_2,Thermocouple_1,Thermocouple_2,Thermocouple_3,Thermocouple_4,Thermocouple_5,Thermocouple_6,Thermocouple_7,DHT22_H,DHT22_T,t
216.18,211.39,201.81,163.43,325.98,226.57,211.08,225.99,253.28,257.33,9.67,14.19,100.61,108.54,3305.04,3541.34,3.74,5.27,36.99,33.68,2.22,1.21,39.8,35.45,3.06,3.97,0.79,0.64,3.24,4.15,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238456635
216.64,211.51,210.76,158.97,328.04,228.74,211.89,227.96,254.14,257.7,9.83,14.2,100.61,108.76,3313.08,3543.5,3.77,5.18,37.61,34.11,2.24,1.23,39.85,35.52,3.09,3.95,0.79,0.64,3.27,4.1,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238460869
219.22,210.64,214.94,163.03,335.77,228.45,212.89,228.73,255.58,258.58,10.1,14.15,101.36,109.99,3340.67,3542.77,3.86,5.16,37.87,33.94,2.26,1.24,39.86,35.52,3.14,3.93,0.79,0.64,3.33,4.15,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238465104
220.26,210.61,221.46,170.42,339.94,226.1,213.57,231.82,256.08,259.39,10.38,14.17,102.46,111.06,3369.62,3555.84,3.99,5.19,38.37,34.42,2.31,1.26,39.9,35.6,3.19,3.94,0.79,0.64,3.37,4.13,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238469339
219.05,212.28,222.26,168.49,336.1,224.08,213.86,230.65,256.08,259.01,10.23,14.48,102.23,110.21,3391.25,3582.13,3.94,5.28,38.52,33.65,2.28,1.27,39.95,35.62,3.19,3.96,0.79,0.64,3.38,4.16,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238473574
231.07,200.92,349.17,161.07,366.66,245.3,228.42,253.06,269.62,271.24,12.29,11.73,109.25,121.94,3868.17,4077.23,4.62,4.37,46.32,33.59,2.65,1.58,40.22,36.06,3.58,3.46,0.8,0.66,3.76,3.62,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238477810
225.0,196.22,271.53,142.81,318.04,199.15,217.74,239.77,262.5,263.39,11.09,10.79,104.22,114.38,3571.58,3726.35,4.2,4.12,41.67,31.66,2.44,1.42,39.82,35.65,3.39,3.3,0.79,0.65,3.58,3.46,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238482046
221.88,195.72,217.77,148.77,287.48,177.02,215.72,228.36,255.83,260.96,10.73,10.23,102.14,110.74,3277.09,3462.69,4.03,4.12,38.51,32.75,2.24,1.31,39.89,35.39,3.17,3.29,0.78,0.64,3.5,3.38,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238486281
222.06,195.09,228.81,145.33,294.4,168.24,214.25,233.03,260.01,260.9,10.6,10.54,103.02,111.84,3322.42,3418.28,4.08,4.05,39.07,32.06,2.36,1.35,39.78,35.61,3.31,3.21,0.78,0.65,3.5,3.38,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238490516
220.73,193.83,203.34,151.01,276.68,148.33,211.02,228.88,257.02,258.85,10.46,10.25,100.97,110.26,3249.1,3285.22,4.01,3.91,37.19,32.33,2.27,1.28,39.67,35.47,3.23,3.17,0.78,0.64,3.37,3.34,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238494751
219.98,194.83,184.52,151.71,261.2,134.09,210.38,225.99,255.07,257.24,10.28,10.5,100.39,108.38,3149.32,3176.81,3.93,4.05,35.7,32.61,2.23,1.24,39.6,35.43,3.15,3.27,0.78,0.64,3.35,3.42,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238498986
221.39,196.57,192.49,171.22,272.04,129.18,212.03,229.24,257.38,259.18,10.41,10.85,100.66,110.12,3233.37,3189.87,4.03,4.11,36.38,33.99,2.34,1.27,39.7,35.57,3.21,3.32,0.78,0.64,3.34,3.52,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238503222
219.28,196.9,183.12,159.43,252.9,119.34,210.87,224.79,255.83,258.27,10.12,10.94,99.99,108.01,3145.99,3131.69,3.91,4.19,35.36,33.14,2.25,1.26,39.62,35.44,3.16,3.34,0.78,0.64,3.36,3.52,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238507456
216.06,197.34,150.42,153.1,232.65,104.05,204.79,217.08,251.03,254.1,9.62,10.97,97.35,104.2,2965.91,2937.96,3.76,4.22,32.56,32.76,2.13,1.16,39.39,35.26,3.05,3.36,0.77,0.63,3.22,3.53,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238511688
212.25,196.72,121.93,150.03,214.9,91.11,199.52,211.0,246.42,250.57,8.95,10.99,95.01,100.78,2826.35,2798.89,3.56,4.15,29.93,32.13,2.05,1.08,39.15,35.04,2.92,3.31,0.76,0.63,3.08,3.49,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238515919
219.02,198.26,174.87,155.75,234.04,101.95,209.52,225.58,257.09,258.41,10.0,11.24,100.24,107.46,3121.89,3033.68,3.91,4.28,34.8,32.93,2.31,1.26,39.48,35.44,3.16,3.37,0.77,0.64,3.33,3.55,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238524387
222.19,197.1,183.41,163.13,232.83,102.88,214.19,227.2,257.28,261.67,10.66,10.99,100.27,110.46,3181.96,3098.72,4.06,4.19,36.0,33.95,2.34,1.33,39.69,35.46,3.14,3.45,0.78,0.64,3.4,3.57,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238528623
220.46,198.05,169.28,160.88,227.4,93.69,210.23,228.03,257.71,259.66,10.26,11.13,100.06,109.08,3142.68,2975.03,3.98,4.24,34.62,33.56,2.35,1.26,39.53,35.5,3.19,3.4,0.78,0.64,3.3,3.57,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238532857
215.33,194.25,147.55,139.05,203.62,85.71,204.44,220.02,253.03,254.66,9.39,10.37,97.44,104.91,2964.05,2859.93,3.7,4.05,32.41,31.59,2.19,1.2,39.17,35.19,3.03,3.24,0.77,0.63,3.21,3.41,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238537089
225.4,194.56,209.49,153.61,228.61,101.8,224.07,247.36,270.02,268.84,11.15,10.44,106.42,119.01,3552.28,3401.89,4.32,3.98,37.63,32.76,2.64,1.59,39.74,35.8,3.41,3.18,0.78,0.65,3.58,3.37,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238541326
221.96,193.31,133.49,156.9,186.88,77.25,217.18,240.38,266.55,262.72,10.58,10.17,103.68,115.65,3373.57,3144.74,4.06,3.92,30.92,33.49,2.46,1.45,39.44,35.59,3.26,3.17,0.78,0.64,3.41,3.34,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238545561
220.82,205.05,116.23,162.5,165.69,69.04,213.52,237.35,264.69,260.6,10.35,12.85,101.98,114.17,3288.26,3056.24,4.0,4.74,29.06,33.54,2.37,1.41,39.33,35.43,3.22,3.67,0.77,0.64,3.39,3.86,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238549795
