MQ2_H2_1,MQ2_H2_2,MQ4_H2_1,MQ4_H2_2,MQ6_H2_1,MQ6_H2_2,MQ7_H2_1,MQ7_H2_2,MQ8_H2_1,MQ8_H2_2,MQ2_CO_1,MQ2_CO_2,MQ7_CO_1,MQ7_CO_2,MG811_CO2_1,MG811_CO2_2,MQ2_CH4_1,MQ2_CH4_2,MQ4_CH4_1,MQ4_CH4_2,MQ9_CH4_1,MQ9_CH4_2,MQ3_C6H6_1,MQ3_C6H6_2,MQ2_C3H8_1,MQ2_C3H8_2,MQ3_OH_1,MQ3_OH_2,MQ2_LPG_1,MQ2_LPG_2,Thermocouple_1,Thermocouple_2,Thermocouple_3,Thermocouple_4,Thermocouple_5,Thermocouple_6,Thermocouple_7,DHT22_H,DHT22_T,t
309.94,303.83,77.2,511.26,93.1,99.78,206.24,207.39,319.35,332.31,12.87,3.53,97.71,99.45,3828.35,3626.79,4.75,1.63,24.18,55.56,2.32,1.34,40.19,37.06,3.68,1.58,0.8,0.69,3.85,1.7,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694230235831
301.88,311.27,63.69,384.28,91.34,106.97,196.71,197.62,311.74,323.48,11.43,4.02,93.71,94.22,3502.29,3383.93,4.34,1.81,22.57,48.91,2.09,1.2,39.25,36.06,3.42,1.7,0.77,0.66,3.59,1.84,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694230240063
297.42,314.83,54.06,389.52,97.53,124.43,191.77,193.38,306.54,317.05,10.7,4.16,90.89,91.24,3062.47,3114.59,4.1,1.83,21.23,48.74,1.91,1.07,38.22,34.8,3.26,1.76,0.73,0.62,3.46,1.89,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694230244293
289.61,314.91,45.47,306.0,96.4,127.03,184.35,184.37,300.3,310.67,9.62,4.25,87.39,86.5,2962.27,3048.24,3.75,1.87,19.92,43.35,1.71,0.94,36.85,33.43,3.07,1.76,0.69,0.58,3.26,1.89,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694230248520
289.47,321.6,46.28,320.06,105.24,146.81,184.96,184.06,299.22,310.33,9.68,4.49,87.35,87.41,2793.13,2991.79,3.78,1.98,19.87,45.42,1.66,0.89,36.17,32.66,3.04,1.87,0.66,0.55,3.24,2.01,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694230252748
288.55,337.93,50.72,320.71,129.14,242.73,185.74,185.31,298.94,311.6,9.59,5.49,87.75,87.62,2889.42,3279.83,3.75,2.33,20.59,45.76,1.64,0.89,36.03,32.36,3.05,2.1,0.66,0.54,3.22,2.24,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694230256976
289.91,322.37,69.02,346.5,194.93,475.11,189.35,189.15,300.54,316.96,9.76,4.58,89.56,89.66,2989.35,3678.62,3.77,2.01,23.5,45.96,1.68,0.99,37.52,33.25,3.07,1.87,0.71,0.57,3.24,2.02,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694230261205
289.29,355.18,90.02,341.28,245.47,598.78,192.51,191.81,300.25,319.61,9.6,6.51,91.13,90.63,3168.66,3955.96,3.76,2.68,26.33,46.03,1.71,1.07,38.88,34.42,3.07,2.36,0.75,0.61,3.24,2.51,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694230265434
292.83,339.72,121.15,386.62,305.5,758.92,198.28,198.59,302.48,324.8,9.89,5.81,95.05,93.1,3232.86,4169.14,3.81,2.48,30.33,46.24,1.8,1.27,40.34,36.01,3.13,2.18,0.8,0.66,3.32,2.29,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694230269667
294.38,342.76,148.85,408.79,359.71,855.64,198.99,202.61,302.93,327.22,10.08,5.88,95.6,95.17,3106.0,4138.19,3.88,2.5,33.18,47.42,1.89,1.4,41.24,36.78,3.15,2.2,0.84,0.68,3.35,2.34,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694230273901
294.87,350.49,182.34,409.17,393.51,941.95,204.55,204.92,301.53,329.99,10.59,6.14,94.66,98.51,3277.36,4253.71,4.02,2.6,34.76,49.33,2.0,1.45,41.23,37.26,3.27,2.24,0.83,0.7,3.44,2.35,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694230278135
293.5,352.94,209.53,363.45,448.67,992.74,206.92,207.34,303.72,331.64,10.52,6.27,97.94,99.9,3189.37,4328.95,4.05,2.53,37.36,50.44,2.02,1.51,41.72,37.48,3.24,2.34,0.86,0.7,3.38,2.48,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694230282370
292.92,364.77,209.89,363.18,452.37,927.11,204.71,207.05,301.57,329.21,10.23,7.21,97.75,99.07,3341.6,4401.95,3.92,2.93,37.74,47.71,1.98,1.5,41.83,37.61,3.18,2.55,0.86,0.71,3.34,2.7,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694230286602
295.9,369.83,247.3,415.1,491.7,988.43,209.01,212.33,302.64,332.16,10.55,7.49,99.97,101.34,3309.42,4448.9,4.04,3.03,39.96,49.6,2.02,1.54,42.29,37.99,3.24,2.6,0.87,0.72,3.41,2.75,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694230290835
296.12,360.53,293.41,372.72,515.57,1050.61,214.52,214.6,302.56,335.99,10.99,6.49,100.7,104.61,3516.8,4630.86,4.21,2.7,41.94,51.75,2.12,1.57,42.53,38.39,3.33,2.37,0.89,0.74,3.47,2.54,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694230295072
285.09,352.52,222.29,246.98,466.18,808.15,198.66,205.45,294.91,323.43,9.14,6.39,94.57,97.26,3800.7,4693.81,3.58,2.66,38.67,40.46,1.82,1.43,41.81,37.64,2.98,2.32,0.85,0.71,3.14,2.45,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694230303538
284.35,371.54,239.86,240.58,472.31,852.93,199.94,206.52,295.53,324.5,9.22,7.52,95.2,97.26,3657.82,4712.74,3.58,3.04,39.4,40.25,1.81,1.46,42.05,37.66,2.98,2.63,0.86,0.71,3.2,2.71,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694230307769
287.71,370.78,238.27,288.9,488.31,858.22,200.81,206.92,295.24,325.45,9.47,7.59,94.8,99.36,3592.9,4602.68,3.69,3.06,39.44,42.99,1.86,1.46,42.06,37.79,2.99,2.64,0.87,0.72,3.15,2.78,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694230311999
287.28,369.61,244.98,288.62,506.76,853.2,200.58,209.91,295.81,324.64,9.45,7.62,95.54,100.0,3680.0,4716.47,3.7,3.05,40.27,42.38,1.88,1.48,42.05,37.8,3.03,2.61,0.86,0.72,3.2,2.76,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694230316232
289.65,378.37,264.92,308.33,527.73,886.67,204.8,212.97,297.82,327.22,9.62,8.29,97.13,101.96,3641.52,4709.55,3.76,3.3,41.54,44.45,1.93,1.54,42.18,37.89,3.06,2.74,0.87,0.72,3.24,2.91,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694230320463
291.19,382.38,287.21,320.54,553.23,917.46,207.32,216.71,299.1,329.17,9.94,8.64,98.5,103.23,3673.95,4699.02,3.82,3.39,43.08,44.87,1.97,1.58,42.34,37.99,3.13,2.84,0.88,0.72,3.28,2.99,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694230324694
290.97,389.64,294.62,316.52,564.2,924.12,207.91,218.61,299.18,329.56,9.91,9.12,99.48,104.07,3680.51,4738.46,3.83,3.58,43.33,45.13,1.98,1.6,42.36,37.99,3.13,2.97,0.88,0.72,3.3,3.13,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694230328924
291.15,385.63,283.33,308.02,550.55,860.77,206.89,217.61,298.11,329.0,9.77,9.01,98.22,103.92,3792.09,4773.85,3.79,3.53,42.93,43.82,2.0,1.57,42.15,37.86,3.08,2.91,0.88,0.72,3.24,3.1,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694230333156
291.59,398.64,303.6,315.78,574.24,898.63,209.26,220.27,299.02,329.43,9.91,10.09,99.37,105.33,3739.03,4748.34,3.85,3.89,43.91,44.99,2.02,1.6,42.31,37.95,3.13,3.16,0.88,0.72,3.27,3.35,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694230337388
291.19,405.63,307.63,333.47,578.0,895.57,210.87,220.22,299.3,329.77,9.96,10.64,100.31,105.49,3446.04,4459.06,3.86,4.09,44.05,45.75,2.01,1.6,42.43,37.94,3.12,3.27,0.88,0.72,3.3,3.44,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694230341622
293.86,410.96,328.34,363.15,603.44,920.08,215.01,223.98,301.45,331.59,10.21,11.19,102.43,107.12,3432.81,4493.84,3.94,4.27,45.6,47.23,2.06,1.66,42.62,38.01,3.17,3.41,0.89,0.72,3.36,3.56,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694230345857
292.57,410.04,326.91,339.85,602.67,892.3,212.78,223.56,300.5,331.72,10.13,10.94,101.27,107.36,3456.49,4491.21,3.92,4.18,45.25,46.84,2.05,1.65,42.5,38.0,3.17,3.34,0.88,0.72,3.32,3.55,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694230350092
