MQ2_H2_1,MQ2_H2_2,MQ4_H2_1,MQ4_H2_2,MQ6_H2_1,MQ6_H2_2,MQ7_H2_1,MQ7_H2_2,MQ8_H2_1,MQ8_H2_2,MQ2_CO_1,MQ2_CO_2,MQ7_CO_1,MQ7_CO_2,MG811_CO2_1,MG811_CO2_2,MQ2_CH4_1,MQ2_CH4_2,MQ4_CH4_1,MQ4_CH4_2,MQ9_CH4_1,MQ9_CH4_2,MQ3_C6H6_1,MQ3_C6H6_2,MQ2_C3H8_1,MQ2_C3H8_2,MQ3_OH_1,MQ3_OH_2,MQ2_LPG_1,MQ2_LPG_2,Thermocouple_1,Thermocouple_2,Thermocouple_3,Thermocouple_4,Thermocouple_5,Thermocouple_6,Thermocouple_7,DHT22_H,DHT22_T,t
222.19,221.85,90.46,126.52,49.25,45.47,195.92,203.74,263.78,265.54,10.75,16.91,92.81,98.38,2662.95,2533.36,4.09,6.02,26.82,29.62,2.61,1.47,39.23,37.32,3.27,4.46,0.77,0.7,3.43,4.6,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238096682
222.96,221.16,95.23,123.13,50.07,45.91,196.95,206.04,264.0,267.44,10.77,17.0,93.43,97.98,2717.37,2597.02,4.12,6.03,26.66,29.75,2.63,1.5,39.18,37.29,3.29,4.42,0.77,0.7,3.48,4.6,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238100914
216.84,220.87,64.41,120.86,43.42,39.0,186.86,192.74,254.86,261.11,9.73,16.82,88.47,91.4,2415.77,2278.53,3.77,6.0,22.78,29.33,2.35,1.27,38.81,36.78,3.08,4.44,0.75,0.68,3.25,4.61,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238105143
218.63,223.05,72.3,134.55,48.19,45.41,191.88,197.52,257.92,261.47,10.07,17.35,91.2,92.92,2557.58,2427.89,3.88,6.16,24.04,32.1,2.45,1.29,38.82,36.76,3.19,4.49,0.75,0.68,3.37,4.71,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238109374
227.34,222.69,90.88,184.31,59.13,56.94,199.58,207.39,262.66,265.44,11.69,17.75,94.09,99.25,2772.31,2623.97,4.38,6.2,26.57,35.79,2.63,1.36,38.51,36.52,3.39,4.63,0.74,0.67,3.54,4.86,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238117836
225.92,223.18,95.0,185.2,64.0,74.4,201.69,206.71,261.43,266.08,11.48,17.35,95.07,100.09,2780.56,2699.45,4.29,6.25,26.88,35.57,2.58,1.41,38.42,36.24,3.31,4.64,0.74,0.67,3.52,4.81,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238122069
225.48,222.69,101.2,176.87,76.94,110.67,201.94,210.04,262.77,266.93,11.33,17.24,95.3,100.21,2898.48,2945.28,4.29,6.11,27.94,34.84,2.6,1.53,38.36,36.38,3.39,4.54,0.74,0.67,3.57,4.72,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238126304
224.71,219.56,102.76,170.86,89.76,146.56,199.72,208.89,261.64,265.64,11.22,16.59,94.8,99.61,2928.86,3063.24,4.24,5.96,28.22,34.31,2.58,1.54,38.51,36.48,3.35,4.37,0.74,0.67,3.53,4.57,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238130538
225.79,218.67,120.1,173.92,105.83,185.83,202.28,212.46,263.02,267.85,11.23,16.11,96.84,101.43,3025.24,3217.55,4.27,5.78,29.86,34.6,2.63,1.62,38.88,36.68,3.39,4.28,0.75,0.68,3.58,4.45,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238134773
224.88,216.34,119.74,169.15,114.25,202.29,201.9,211.07,262.0,266.69,11.12,15.68,96.14,100.79,3065.08,3292.48,4.24,5.61,29.7,34.23,2.6,1.6,39.24,36.75,3.36,4.18,0.76,0.68,3.55,4.37,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694238139009
