MQ2_H2_1,MQ2_H2_2,MQ4_H2_1,MQ4_H2_2,MQ6_H2_1,MQ6_H2_2,MQ7_H2_1,MQ7_H2_2,MQ8_H2_1,MQ8_H2_2,MQ2_CO_1,MQ2_CO_2,MQ7_CO_1,MQ7_CO_2,MG811_CO2_1,MG811_CO2_2,MQ2_CH4_1,MQ2_CH4_2,MQ4_CH4_1,MQ4_CH4_2,MQ9_CH4_1,MQ9_CH4_2,MQ3_C6H6_1,MQ3_C6H6_2,MQ2_C3H8_1,MQ2_C3H8_2,MQ3_OH_1,MQ3_OH_2,MQ2_LPG_1,MQ2_LPG_2,Thermocouple_1,Thermocouple_2,Thermocouple_3,Thermocouple_4,Thermocouple_5,Thermocouple_6,Thermocouple_7,DHT22_H,DHT22_T,t
283.86,263.3,281.95,123.59,238.61,215.35,200.73,249.06,329.05,307.14,11.72,3.71,95.37,120.45,3883.75,3984.75,4.46,1.69,42.41,30.17,1.55,1.35,36.39,32.33,3.48,1.64,0.67,0.54,3.68,1.76,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694253067738
281.96,262.22,269.37,115.94,232.7,205.45,198.05,246.89,327.13,305.39,11.47,3.61,94.35,118.34,3776.03,3851.48,4.37,1.65,41.67,29.51,1.52,1.33,36.32,32.26,3.43,1.62,0.67,0.54,3.62,1.74,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694253071970
279.82,264.03,253.92,109.63,223.82,197.5,196.15,243.68,325.49,304.72,11.18,3.79,93.16,117.45,3644.57,3686.15,4.24,1.71,40.86,28.29,1.49,1.31,36.17,32.2,3.37,1.65,0.66,0.54,3.54,1.77,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694253076203
278.65,269.86,248.41,104.72,217.31,190.11,195.47,242.84,324.86,303.68,11.17,4.07,92.83,116.63,3635.13,3690.75,4.24,1.82,40.25,28.27,1.47,1.28,36.11,32.11,3.34,1.74,0.66,0.54,3.52,1.86,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694253080436
279.23,287.72,250.81,103.65,215.65,190.22,196.38,242.66,325.49,304.05,11.12,5.31,92.99,116.84,3679.51,3741.91,4.23,2.56,40.65,28.03,1.49,1.32,36.14,32.1,3.38,2.12,0.66,0.54,3.54,2.39,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694253084669
280.07,325.49,252.67,104.72,216.66,183.1,196.51,242.43,326.31,305.22,11.26,9.13,92.63,115.93,3761.74,3858.43,4.25,3.62,40.38,28.37,1.49,1.3,36.14,32.09,3.39,3.09,0.66,0.54,3.59,3.29,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694253088900
299.77,321.79,497.42,141.62,277.8,246.22,219.21,277.51,350.57,326.12,14.48,9.12,105.24,134.8,4508.54,4653.58,5.31,3.85,54.15,32.1,1.95,1.79,37.06,33.07,4.01,3.09,0.69,0.57,4.19,3.41,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694253101600
296.52,350.87,423.72,153.31,265.43,237.67,215.89,270.73,345.48,321.94,13.89,11.6,103.62,130.85,4381.16,4423.94,5.08,4.47,50.42,33.24,1.82,1.65,36.54,32.75,3.89,3.58,0.68,0.56,4.07,3.78,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694253110070
295.22,351.19,404.51,154.48,265.13,239.63,214.58,268.81,344.51,320.79,13.73,11.39,102.1,129.86,4409.49,4467.99,5.02,4.5,49.4,33.93,1.79,1.63,36.33,32.63,3.84,3.55,0.67,0.55,4.04,3.77,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694253114304
294.91,345.99,398.46,157.54,265.99,242.66,214.16,269.35,343.76,321.21,13.6,10.99,102.53,129.61,4346.93,4411.57,5.06,4.37,50.01,32.92,1.78,1.63,36.26,32.56,3.85,3.47,0.66,0.55,4.01,3.72,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694253118538
