MQ2_H2_1,MQ2_H2_2,MQ4_H2_1,MQ4_H2_2,MQ6_H2_1,MQ6_H2_2,MQ7_H2_1,MQ7_H2_2,MQ8_H2_1,MQ8_H2_2,MQ2_CO_1,MQ2_CO_2,MQ7_CO_1,MQ7_CO_2,MG811_CO2_1,MG811_CO2_2,MQ2_CH4_1,MQ2_CH4_2,MQ4_CH4_1,MQ4_CH4_2,MQ9_CH4_1,MQ9_CH4_2,MQ3_C6H6_1,MQ3_C6H6_2,MQ2_C3H8_1,MQ2_C3H8_2,MQ3_OH_1,MQ3_OH_2,MQ2_LPG_1,MQ2_LPG_2,Thermocouple_1,Thermocouple_2,Thermocouple_3,Thermocouple_4,Thermocouple_5,Thermocouple_6,Thermocouple_7,DHT22_H,DHT22_T,t
309.72,369.94,55.91,331.28,81.76,33.31,194.43,203.98,313.56,313.48,12.09,5.44,91.78,97.14,2347.91,2204.39,4.51,2.31,21.62,45.25,1.51,0.81,36.35,30.56,3.51,2.09,0.67,0.49,3.7,2.24,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694166615320
288.82,330.84,51.12,329.48,73.64,32.87,189.17,202.68,318.34,312.62,9.21,3.7,89.5,95.96,2333.58,2222.12,3.61,1.61,20.77,44.95,1.52,0.79,36.55,30.8,2.97,1.58,0.67,0.5,3.15,1.73,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694166678707
290.06,301.82,56.63,345.98,77.12,35.26,191.8,204.71,319.96,314.72,9.37,2.61,90.49,97.28,2312.92,2152.35,3.64,1.24,21.53,46.09,1.55,0.81,36.51,30.78,2.99,1.27,0.67,0.5,3.15,1.39,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694166682932
286.89,299.48,54.59,293.32,76.24,36.07,188.46,201.84,317.94,312.92,9.05,2.44,89.34,96.16,2352.26,2262.73,3.55,1.22,21.17,43.74,1.5,0.79,36.18,30.5,2.93,1.3,0.66,0.49,3.08,1.43,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694166687158
286.09,296.57,53.2,276.3,77.47,37.51,187.38,201.39,317.33,312.7,8.87,2.33,88.76,95.61,2305.35,2195.96,3.52,1.14,21.24,42.23,1.49,0.79,35.87,30.25,2.89,1.21,0.65,0.48,3.06,1.32,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694166691382
282.94,301.37,54.55,242.96,77.96,39.19,185.28,199.22,316.84,311.89,8.65,2.56,88.38,94.58,2215.44,2177.01,3.42,1.21,21.16,40.17,1.44,0.78,35.52,29.9,2.81,1.3,0.64,0.47,3.03,1.39,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694166695606
284.07,280.31,52.52,251.62,80.56,39.73,184.81,200.72,316.58,311.5,8.65,2.06,87.81,94.55,2317.91,2267.11,3.42,1.01,21.21,40.1,1.46,0.77,35.19,29.81,2.86,1.06,0.63,0.47,3.03,1.16,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694166699828
287.47,301.66,59.78,297.83,86.53,44.05,189.48,204.64,319.8,315.16,9.1,2.52,89.56,96.71,2348.45,2255.63,3.57,1.21,22.23,42.57,1.51,0.8,35.11,29.78,2.97,1.25,0.63,0.47,3.11,1.35,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694166704053
298.1,313.69,81.37,456.48,104.71,53.11,201.5,218.13,330.84,324.88,10.43,2.95,96.02,103.56,2607.64,2489.41,4.01,1.37,25.14,51.84,1.7,0.89,35.54,30.12,3.19,1.43,0.64,0.48,3.39,1.53,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694166708284
296.57,346.11,84.0,437.64,108.71,55.9,202.56,218.91,335.41,325.36,10.25,4.22,96.27,104.43,2578.4,2488.64,3.94,1.87,25.49,51.65,1.68,0.89,35.24,29.89,3.2,1.77,0.63,0.47,3.36,1.9,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694166716746
297.56,356.74,85.34,429.89,112.02,57.02,203.29,218.79,337.36,325.01,10.28,4.71,96.37,104.49,2624.99,2553.84,3.96,2.07,25.7,51.23,1.67,0.89,35.04,29.75,3.18,1.93,0.63,0.47,3.37,2.04,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694166720979
296.16,371.15,84.29,417.88,110.97,56.75,202.36,218.02,336.96,323.88,10.24,5.47,95.78,104.37,2627.5,2577.84,3.93,2.34,25.61,49.5,1.68,0.89,34.87,29.63,3.18,2.11,0.62,0.46,3.36,2.24,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694166725212
299.53,382.49,75.6,459.03,116.99,53.82,195.83,221.57,336.64,320.71,9.66,6.59,97.37,102.07,2509.09,2517.66,3.88,2.68,26.02,49.76,1.59,0.89,34.79,29.37,3.08,2.38,0.62,0.46,3.22,2.53,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694166729443
304.99,394.01,84.12,400.39,112.99,57.35,201.98,217.08,331.51,323.57,11.77,6.71,95.39,104.46,2582.43,2494.33,4.45,2.76,25.26,50.99,1.66,0.86,34.33,29.33,3.44,2.4,0.6,0.46,3.59,2.57,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694166733675
299.72,396.7,86.03,411.12,115.74,58.45,202.17,218.79,330.41,323.4,10.7,6.98,96.15,105.09,2589.35,2498.29,4.1,2.85,25.67,50.34,1.64,0.87,34.08,29.19,3.28,2.46,0.6,0.45,3.45,2.6,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694166737906
311.96,389.67,85.99,409.33,114.43,58.54,203.29,218.43,325.39,322.23,12.74,6.64,95.35,104.61,2603.17,2489.96,4.63,2.77,25.82,48.96,1.6,0.87,33.71,28.97,3.66,2.41,0.58,0.45,3.88,2.49,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694166742138
316.87,384.65,83.6,402.34,117.37,57.79,201.89,217.26,325.43,321.41,13.15,6.31,95.73,103.77,2681.59,2659.14,4.84,2.63,25.37,50.21,1.57,0.84,33.37,28.74,3.73,2.32,0.57,0.44,3.92,2.46,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694166746369
317.78,366.47,86.41,431.1,121.11,59.03,203.48,219.14,327.16,322.06,13.28,5.24,96.52,104.52,2650.15,2593.41,4.94,2.25,25.82,50.86,1.62,0.84,33.11,28.68,3.77,2.06,0.57,0.44,3.98,2.18,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694166750600
