MQ2_H2_1,MQ2_H2_2,MQ4_H2_1,MQ4_H2_2,MQ6_H2_1,MQ6_H2_2,MQ7_H2_1,MQ7_H2_2,MQ8_H2_1,MQ8_H2_2,MQ2_CO_1,MQ2_CO_2,MQ7_CO_1,MQ7_CO_2,MG811_CO2_1,MG811_CO2_2,MQ2_CH4_1,MQ2_CH4_2,MQ4_CH4_1,MQ4_CH4_2,MQ9_CH4_1,MQ9_CH4_2,MQ3_C6H6_1,MQ3_C6H6_2,MQ2_C3H8_1,MQ2_C3H8_2,MQ3_OH_1,MQ3_OH_2,MQ2_LPG_1,MQ2_LPG_2,Thermocouple_1,Thermocouple_2,Thermocouple_3,Thermocouple_4,Thermocouple_5,Thermocouple_6,Thermocouple_7,DHT22_H,DHT22_T,t
339.13,494.2,481.36,634.16,315.12,127.9,311.03,309.14,370.82,391.12,16.7,15.97,152.17,150.73,4531.48,4237.99,5.97,5.72,53.8,59.84,5.22,3.22,45.21,41.91,4.43,4.25,0.99,0.86,4.62,4.44,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694173584441
340.83,495.06,496.49,652.56,315.55,129.55,316.34,310.72,372.36,393.58,17.17,16.01,154.7,152.24,4598.97,4315.97,6.05,5.71,54.28,60.54,5.29,3.27,45.27,41.97,4.46,4.27,0.99,0.87,4.64,4.44,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694173588678
339.99,494.56,477.35,637.97,307.89,124.72,310.28,309.71,371.0,391.49,16.95,16.12,151.14,150.82,4538.13,4241.58,5.96,5.76,53.51,59.74,5.22,3.23,45.22,41.94,4.42,4.26,0.99,0.86,4.62,4.45,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694173592913
339.46,494.62,482.81,650.87,301.56,125.21,309.58,310.1,371.61,392.34,17.18,15.93,149.74,151.22,4574.1,4243.36,6.05,5.73,53.44,60.42,5.29,3.24,45.24,41.98,4.44,4.28,0.99,0.87,4.63,4.47,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694173597149
339.36,492.62,452.73,639.94,297.38,119.74,305.99,308.2,372.07,390.83,16.66,16.01,150.34,149.8,4436.53,4149.99,5.96,5.69,52.5,60.22,5.22,3.2,45.18,41.97,4.43,4.25,0.98,0.86,4.58,4.43,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694173601385
337.89,492.41,429.8,601.95,259.82,112.36,305.55,305.46,371.84,389.7,16.64,15.72,149.2,148.52,4470.13,4164.48,5.92,5.66,50.7,57.43,5.22,3.12,44.85,41.78,4.36,4.25,0.97,0.86,4.62,4.42,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694173609857
326.46,487.43,246.14,566.66,191.28,87.01,293.51,296.57,367.28,382.98,14.46,15.14,143.1,144.35,4208.71,3844.57,5.27,5.45,40.32,57.2,4.72,2.89,44.48,41.39,4.0,4.12,0.96,0.84,4.18,4.31,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694173614092
320.05,484.53,174.47,574.44,143.31,69.11,284.34,287.01,362.69,375.35,13.53,14.89,138.96,139.12,4012.06,3608.21,4.96,5.4,34.98,57.2,4.28,2.75,44.08,41.11,3.84,4.09,0.94,0.83,4.02,4.26,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694173618327
320.68,483.04,168.21,582.97,148.4,66.67,285.94,284.73,361.77,374.7,13.6,14.79,138.77,138.36,3871.58,3442.66,5.04,5.37,34.37,57.96,4.41,2.69,44.18,41.19,3.84,4.06,0.95,0.84,4.04,4.2,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694173622562
324.85,484.03,190.3,588.72,163.13,70.87,289.35,289.2,367.94,377.96,14.32,14.81,141.02,140.68,3983.16,3587.36,5.27,5.33,36.08,57.82,4.66,2.78,44.35,41.35,3.97,4.04,0.95,0.84,4.17,4.25,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694173626797
326.94,487.22,232.82,551.25,177.09,78.18,288.94,288.88,373.01,380.83,14.74,15.22,140.47,140.54,4001.53,3647.41,5.37,5.47,39.3,57.29,4.67,2.78,44.37,41.4,4.06,4.13,0.95,0.84,4.24,4.28,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694173631031
329.04,487.08,262.83,572.86,187.21,81.04,288.35,287.0,372.27,380.83,15.02,15.28,140.5,139.61,3920.89,3555.97,5.48,5.48,41.12,57.62,4.73,2.76,44.37,41.42,4.15,4.14,0.95,0.84,4.3,4.3,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694173635266
330.29,490.62,285.56,568.81,192.47,84.27,289.31,286.21,373.02,381.9,15.22,15.48,140.47,139.35,3946.82,3597.34,5.49,5.58,43.03,57.7,4.72,2.74,44.35,41.38,4.14,4.18,0.95,0.84,4.31,4.37,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694173639501
332.07,491.49,309.4,583.79,197.35,87.89,289.66,288.9,370.29,383.16,15.66,15.56,140.78,140.53,3978.37,3649.46,5.63,5.68,44.72,57.78,4.82,2.81,44.48,41.48,4.2,4.2,0.96,0.85,4.42,4.42,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694173643737
334.83,495.71,332.44,589.17,199.88,89.26,291.77,290.34,359.6,385.41,16.09,16.06,141.55,141.17,4036.59,3687.75,5.74,5.82,45.67,58.08,4.86,2.81,44.45,41.5,4.25,4.29,0.96,0.85,4.47,4.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694173647972
332.98,492.34,318.61,586.12,192.47,86.13,288.93,287.37,358.96,383.91,15.72,15.87,140.44,140.09,4003.38,3677.99,5.61,5.75,44.82,57.91,4.79,2.76,44.33,41.47,4.22,4.25,0.95,0.84,4.41,4.45,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694173652208
332.41,496.71,316.14,530.39,185.3,85.26,287.19,287.36,358.13,383.3,15.62,16.26,139.73,139.12,4063.09,3786.77,5.61,5.84,45.19,55.7,4.74,2.72,44.21,41.3,4.18,4.33,0.95,0.84,4.39,4.51,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694173656443
332.01,497.21,302.76,531.51,179.88,82.83,285.42,282.94,356.66,381.67,15.39,16.35,139.04,138.2,3995.06,3714.36,5.53,5.89,44.36,55.25,4.67,2.67,44.09,41.23,4.17,4.32,0.95,0.84,4.36,4.55,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694173660679
330.81,497.0,298.81,518.82,173.24,81.44,285.49,281.92,355.15,380.6,15.41,16.41,138.06,136.84,3980.44,3703.58,5.54,5.81,43.93,55.59,4.67,2.62,44.03,41.18,4.17,4.33,0.94,0.83,4.32,4.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694173664914
332.08,495.06,318.0,517.99,173.48,86.59,286.74,283.58,359.79,381.25,15.53,16.16,138.66,137.3,3921.76,3617.6,5.59,5.76,44.69,55.62,4.7,2.66,44.01,41.16,4.21,4.28,0.94,0.83,4.39,4.46,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694173673385
