MQ2_H2_1,MQ2_H2_2,MQ4_H2_1,MQ4_H2_2,MQ6_H2_1,MQ6_H2_2,MQ7_H2_1,MQ7_H2_2,MQ8_H2_1,MQ8_H2_2,MQ2_CO_1,MQ2_CO_2,MQ7_CO_1,MQ7_CO_2,MG811_CO2_1,MG811_CO2_2,MQ2_CH4_1,MQ2_CH4_2,MQ4_CH4_1,MQ4_CH4_2,MQ9_CH4_1,MQ9_CH4_2,MQ3_C6H6_1,MQ3_C6H6_2,MQ2_C3H8_1,MQ2_C3H8_2,MQ3_OH_1,MQ3_OH_2,MQ2_LPG_1,MQ2_LPG_2,Thermocouple_1,Thermocouple_2,Thermocouple_3,Thermocouple_4,Thermocouple_5,Thermocouple_6,Thermocouple_7,DHT22_H,DHT22_T,t
296.14,343.32,73.82,139.83,99.08,72.73,172.64,177.68,304.48,297.52,10.12,4.38,81.17,84.18,2043.1,2173.39,3.88,1.88,24.33,31.2,1.17,0.7,37.27,32.07,3.13,1.77,0.7,0.53,3.32,1.89,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694163934398
296.53,317.97,72.77,132.32,95.81,70.48,171.82,178.2,304.83,297.47,10.12,3.09,81.03,84.09,2042.21,2149.75,3.87,1.45,24.08,30.55,1.15,0.7,37.17,32.05,3.17,1.46,0.7,0.53,3.31,1.57,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694163938624
293.88,316.16,68.51,120.36,89.53,64.75,169.01,174.42,302.96,295.62,9.76,3.01,79.41,82.15,2003.27,2099.01,3.78,1.4,23.31,30.28,1.13,0.67,36.97,31.93,3.1,1.43,0.69,0.53,3.26,1.54,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694163942849
296.03,326.86,69.0,134.61,91.94,65.46,170.37,177.01,304.44,296.84,10.03,3.47,80.33,83.01,2012.09,2116.75,3.9,1.56,23.57,31.29,1.15,0.69,37.18,31.96,3.15,1.57,0.69,0.53,3.33,1.67,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694163947075
294.88,345.78,68.19,136.26,88.85,64.44,170.75,175.54,303.1,296.42,9.93,4.27,80.33,82.73,1976.28,2081.28,3.8,1.9,23.13,31.22,1.14,0.68,37.08,32.02,3.14,1.77,0.69,0.53,3.28,1.91,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694163951300
295.01,349.48,67.4,147.03,90.35,64.81,170.76,175.84,305.26,296.55,10.01,4.35,81.13,82.78,2001.65,2085.36,3.87,1.91,23.04,32.45,1.15,0.68,37.19,32.08,3.12,1.8,0.7,0.53,3.3,1.92,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694163955527
296.07,331.51,63.47,141.76,85.23,63.34,172.1,174.4,303.7,297.3,9.94,3.56,80.39,81.97,1962.83,2087.21,3.82,1.67,23.15,31.36,1.13,0.69,37.08,32.09,3.16,1.59,0.69,0.54,3.24,1.71,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694163959752
296.62,326.71,69.51,162.4,90.06,64.72,174.01,178.97,307.47,299.29,10.19,3.34,82.21,84.04,2032.79,2131.0,3.97,1.55,23.73,33.96,1.2,0.71,37.33,32.24,3.19,1.53,0.7,0.54,3.35,1.64,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694163963979
296.71,302.47,64.55,146.63,84.08,62.23,172.24,173.55,304.69,297.9,10.22,2.6,81.47,82.71,1956.29,2081.88,3.85,1.27,23.19,31.33,1.16,0.7,37.09,32.16,3.21,1.27,0.7,0.54,3.3,1.4,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694163968203
305.23,311.5,67.05,180.74,88.18,60.73,174.54,177.74,306.34,299.59,11.42,2.85,81.82,84.63,2040.92,2122.03,4.32,1.36,23.41,34.77,1.19,0.71,37.43,32.22,3.38,1.4,0.7,0.54,3.59,1.48,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694163976653
