MQ2_H2_1,MQ2_H2_2,MQ4_H2_1,MQ4_H2_2,MQ6_H2_1,MQ6_H2_2,MQ7_H2_1,MQ7_H2_2,MQ8_H2_1,MQ8_H2_2,MQ2_CO_1,MQ2_CO_2,MQ7_CO_1,MQ7_CO_2,MG811_CO2_1,MG811_CO2_2,MQ2_CH4_1,MQ2_CH4_2,MQ4_CH4_1,MQ4_CH4_2,MQ9_CH4_1,MQ9_CH4_2,MQ3_C6H6_1,MQ3_C6H6_2,MQ2_C3H8_1,MQ2_C3H8_2,MQ3_OH_1,MQ3_OH_2,MQ2_LPG_1,MQ2_LPG_2,Thermocouple_1,Thermocouple_2,Thermocouple_3,Thermocouple_4,Thermocouple_5,Thermocouple_6,Thermocouple_7,DHT22_H,DHT22_T,t
311.71,338.71,87.17,350.04,126.91,65.02,193.17,195.19,313.39,310.56,12.4,3.87,91.4,93.13,2251.39,2279.57,4.65,1.75,25.7,47.34,1.51,0.82,37.97,32.71,3.58,1.7,0.72,0.55,3.77,1.82,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694164420696
309.91,341.73,82.02,358.49,124.31,62.17,191.49,194.85,313.21,309.15,11.97,4.01,91.1,92.03,2231.62,2258.54,4.49,1.78,25.41,46.17,1.49,0.82,37.91,32.69,3.52,1.72,0.72,0.55,3.72,1.82,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694164424924
311.72,339.17,78.83,351.17,120.46,60.26,190.58,193.38,312.95,308.81,12.29,3.91,90.72,91.27,2204.89,2235.95,4.59,1.76,24.93,46.84,1.49,0.81,37.88,32.68,3.6,1.69,0.72,0.55,3.78,1.8,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694164429152
309.83,336.57,79.63,355.19,114.88,59.69,192.7,191.92,312.74,310.56,12.22,3.71,89.91,91.93,2211.78,2215.6,4.58,1.69,24.62,48.24,1.52,0.8,37.78,32.68,3.52,1.63,0.72,0.55,3.67,1.81,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694164433380
302.91,340.8,68.65,328.98,107.78,53.86,187.74,187.82,309.99,305.87,11.13,3.95,88.92,88.9,2129.14,2155.77,4.24,1.77,23.63,45.92,1.46,0.78,37.7,32.52,3.35,1.72,0.71,0.55,3.54,1.83,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694164437608
303.12,347.22,66.36,329.92,104.39,51.87,186.07,187.45,309.51,305.18,11.15,4.25,88.36,88.64,2105.03,2128.3,4.24,1.88,23.07,46.05,1.44,0.77,37.64,32.57,3.36,1.79,0.71,0.55,3.54,1.91,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694164441837
302.76,340.69,63.45,327.35,99.51,49.86,185.19,184.79,307.69,302.85,10.96,3.96,87.45,87.65,2092.19,2087.56,4.19,1.77,22.61,44.93,1.44,0.75,37.53,32.48,3.33,1.69,0.71,0.55,3.53,1.84,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694164446063
302.89,341.73,59.95,322.84,98.11,47.98,183.89,183.68,307.6,302.26,11.03,4.05,87.01,86.99,2080.37,2101.35,4.21,1.82,22.29,45.21,1.43,0.75,37.48,32.44,3.34,1.73,0.7,0.55,3.49,1.84,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694164450290
300.99,339.52,57.07,311.51,94.7,46.22,183.93,183.1,306.86,302.38,10.92,4.0,86.53,86.59,2037.58,2031.52,4.17,1.78,21.84,44.84,1.41,0.74,37.38,32.38,3.29,1.69,0.7,0.55,3.49,1.84,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694164454516
301.44,341.76,57.38,326.02,93.26,46.32,182.73,183.42,306.77,302.25,10.78,4.03,86.35,86.57,2056.27,2062.58,4.14,1.81,21.72,45.08,1.41,0.74,37.47,32.47,3.3,1.73,0.71,0.55,3.47,1.85,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694164458742
304.62,365.77,59.77,371.22,94.77,47.52,184.75,185.53,308.86,303.44,11.27,5.25,87.68,87.86,2068.63,2071.8,4.28,2.24,22.22,47.87,1.46,0.76,37.59,32.51,3.39,2.03,0.71,0.55,3.57,2.17,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694164462971
