MQ2_H2_1,MQ2_H2_2,MQ4_H2_1,MQ4_H2_2,MQ6_H2_1,MQ6_H2_2,MQ7_H2_1,MQ7_H2_2,MQ8_H2_1,MQ8_H2_2,MQ2_CO_1,MQ2_CO_2,MQ7_CO_1,MQ7_CO_2,MG811_CO2_1,MG811_CO2_2,MQ2_CH4_1,MQ2_CH4_2,MQ4_CH4_1,MQ4_CH4_2,MQ9_CH4_1,MQ9_CH4_2,MQ3_C6H6_1,MQ3_C6H6_2,MQ2_C3H8_1,MQ2_C3H8_2,MQ3_OH_1,MQ3_OH_2,MQ2_LPG_1,MQ2_LPG_2,Thermocouple_1,Thermocouple_2,Thermocouple_3,Thermocouple_4,Thermocouple_5,Thermocouple_6,Thermocouple_7,DHT22_H,DHT22_T,t
312.35,310.56,458.26,404.74,574.58,269.34,250.17,283.64,342.21,344.63,12.41,2.82,120.79,137.02,4077.99,4265.54,4.6,1.35,52.54,49.03,2.27,1.39,40.06,33.99,3.61,1.37,0.8,0.59,3.78,1.47,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694168583754
310.5,319.33,469.88,372.55,566.79,275.61,253.04,283.77,341.54,345.65,12.51,3.03,120.93,138.19,4064.69,4271.46,4.71,1.38,51.98,51.08,2.29,1.37,40.09,34.04,3.6,1.43,0.8,0.59,3.69,1.56,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694168587988
312.12,301.3,458.96,404.97,561.01,265.6,252.2,283.21,342.62,344.71,12.42,2.48,120.88,138.2,4085.4,4253.49,4.63,1.2,51.93,50.11,2.27,1.37,40.06,33.94,3.61,1.25,0.8,0.59,3.77,1.36,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694168596455
312.77,299.09,473.7,407.92,567.41,266.58,253.17,285.08,343.79,346.09,12.47,2.38,122.07,138.42,4064.79,4294.45,4.7,1.14,52.3,51.93,2.28,1.38,40.18,33.94,3.61,1.22,0.8,0.59,3.78,1.34,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694168600689
315.38,300.15,471.4,449.72,577.61,263.59,254.59,287.3,344.29,346.54,12.71,2.48,122.85,139.49,4122.58,4277.92,4.74,1.19,53.26,51.68,2.34,1.4,40.21,33.97,3.67,1.25,0.8,0.59,3.84,1.36,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694168604922
315.47,320.17,490.67,424.09,575.67,261.35,255.82,289.25,345.47,347.61,12.91,3.16,122.85,140.46,4372.6,4723.74,4.73,1.46,53.72,50.13,2.35,1.43,40.24,33.99,3.7,1.47,0.8,0.59,3.89,1.59,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694168609156
314.35,332.13,465.36,380.85,555.47,255.55,252.31,286.65,344.83,346.27,12.63,3.63,121.88,138.94,4340.48,4594.99,4.69,1.64,52.95,48.85,2.31,1.4,40.13,33.87,3.67,1.6,0.8,0.59,3.82,1.72,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694168613389
318.43,292.18,526.11,437.11,574.41,265.62,259.42,293.96,348.78,351.02,13.31,2.42,124.98,143.09,4474.2,4704.09,4.93,1.16,55.21,51.04,2.43,1.49,40.39,34.18,3.79,1.19,0.81,0.6,3.98,1.31,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694168617621
318.27,288.85,499.08,436.73,536.13,248.04,257.25,291.8,348.14,350.07,13.25,2.11,124.41,142.22,4227.48,4302.29,4.89,1.06,54.17,50.91,2.43,1.47,40.34,34.15,3.76,1.13,0.8,0.6,3.94,1.23,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694168621854
316.73,297.77,460.73,419.62,513.77,235.94,255.13,288.82,346.96,347.88,13.13,2.4,122.97,140.07,4159.71,4217.64,4.87,1.17,52.38,50.79,2.37,1.44,40.25,34.08,3.72,1.22,0.8,0.6,3.92,1.33,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694168626087
315.8,294.13,443.08,411.08,489.78,223.24,254.18,287.73,345.91,347.93,12.99,2.31,122.37,139.75,4111.67,4129.64,4.8,1.13,51.43,49.61,2.38,1.43,40.25,34.07,3.71,1.19,0.8,0.6,3.87,1.29,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694168630320
315.98,294.17,429.43,424.8,468.62,209.18,253.18,287.01,345.33,347.03,12.84,2.31,121.94,138.75,4020.66,4056.74,4.78,1.13,50.65,49.58,2.35,1.42,40.23,34.07,3.69,1.2,0.8,0.59,3.9,1.29,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694168634553
315.7,292.93,401.26,413.24,445.92,194.23,251.85,284.06,345.42,345.52,12.83,2.26,121.18,137.32,3986.65,3960.84,4.77,1.1,49.42,49.91,2.33,1.41,40.25,34.01,3.67,1.18,0.8,0.59,3.89,1.27,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694168638787
316.02,289.92,395.49,423.43,432.08,184.06,251.96,284.28,345.24,346.18,12.78,2.19,121.32,137.86,3935.73,3899.42,4.79,1.07,49.13,50.54,2.35,1.41,40.3,34.11,3.69,1.15,0.8,0.6,3.87,1.25,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694168643020
314.22,285.59,392.39,388.39,422.66,172.11,252.99,281.36,345.28,347.25,12.89,2.13,121.34,137.86,3888.63,3888.21,4.7,1.02,48.56,48.81,2.37,1.4,40.4,34.08,3.68,1.13,0.8,0.6,3.87,1.23,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694168647253
312.13,309.74,342.26,377.05,386.9,158.42,248.09,277.91,343.21,343.12,12.41,2.77,119.53,134.17,3874.25,3823.97,4.63,1.32,46.63,48.27,2.28,1.37,40.25,33.97,3.62,1.35,0.8,0.59,3.8,1.45,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694168651486
310.55,326.4,319.15,356.16,357.09,146.33,245.12,273.63,341.08,341.56,12.14,3.38,118.32,132.58,3749.69,3684.74,4.53,1.55,45.06,47.5,2.24,1.36,40.13,33.91,3.57,1.54,0.8,0.59,3.74,1.66,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694168655720
310.92,351.34,300.62,347.11,337.57,137.59,243.49,272.09,340.73,340.72,11.96,4.61,117.49,130.99,3681.18,3622.01,4.53,1.99,44.46,46.24,2.25,1.35,40.09,33.87,3.51,1.89,0.8,0.59,3.72,2.01,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694168659954
310.78,324.92,283.07,357.83,310.76,123.07,243.32,269.12,341.09,340.19,11.96,3.37,117.31,129.96,3701.59,3600.53,4.5,1.54,43.05,46.04,2.25,1.34,40.19,33.92,3.53,1.53,0.8,0.59,3.73,1.64,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694168668423
310.87,322.76,279.03,359.97,297.86,119.26,244.27,267.83,340.86,340.85,12.15,3.22,117.14,129.81,3599.99,3468.57,4.54,1.49,42.51,47.7,2.29,1.34,40.24,33.97,3.56,1.49,0.8,0.59,3.73,1.6,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694168672657
