MQ2_H2_1,MQ2_H2_2,MQ4_H2_1,MQ4_H2_2,MQ6_H2_1,MQ6_H2_2,MQ7_H2_1,MQ7_H2_2,MQ8_H2_1,MQ8_H2_2,MQ2_CO_1,MQ2_CO_2,MQ7_CO_1,MQ7_CO_2,MG811_CO2_1,MG811_CO2_2,MQ2_CH4_1,MQ2_CH4_2,MQ4_CH4_1,MQ4_CH4_2,MQ9_CH4_1,MQ9_CH4_2,MQ3_C6H6_1,MQ3_C6H6_2,MQ2_C3H8_1,MQ2_C3H8_2,MQ3_OH_1,MQ3_OH_2,MQ2_LPG_1,MQ2_LPG_2,Thermocouple_1,Thermocouple_2,Thermocouple_3,Thermocouple_4,Thermocouple_5,Thermocouple_6,Thermocouple_7,DHT22_H,DHT22_T,t
279.2,489.09,46.76,124.54,66.14,77.32,163.81,167.27,289.74,284.22,8.04,15.32,77.27,78.27,2001.64,2224.13,3.26,5.5,19.85,30.39,1.26,0.67,37.56,33.38,2.69,4.22,0.71,0.57,2.88,4.33,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694164995791
261.38,453.55,30.68,69.13,50.11,67.61,149.14,151.19,276.71,271.14,6.55,11.0,69.79,70.92,1805.11,2007.72,2.7,4.36,17.05,22.59,1.04,0.56,36.37,32.58,2.38,3.38,0.67,0.55,2.48,3.64,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694165008463
264.56,448.17,32.5,71.66,48.76,74.06,151.37,150.82,277.98,271.67,6.47,11.33,70.61,70.46,1869.73,2088.8,2.73,4.26,16.87,23.54,1.06,0.56,36.51,32.52,2.38,3.39,0.67,0.55,2.52,3.54,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694165012688
258.43,440.02,28.77,53.85,45.55,68.94,145.7,146.4,273.13,267.52,6.17,10.17,67.68,68.55,1914.77,2103.61,2.55,3.96,16.39,21.17,1.0,0.54,36.2,32.33,2.28,3.22,0.67,0.54,2.43,3.39,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694165016912
264.48,452.82,33.94,71.31,49.47,78.44,150.78,152.23,278.74,270.73,6.65,11.71,70.09,71.05,1791.37,1962.6,2.79,4.38,17.27,24.28,1.05,0.57,36.63,32.59,2.42,3.4,0.67,0.55,2.55,3.65,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694165021136
282.63,514.71,62.53,154.96,68.5,121.6,168.03,169.01,292.43,286.64,8.61,18.51,78.76,79.18,2077.53,2471.25,3.36,6.54,22.47,32.63,1.31,0.7,37.88,33.65,2.8,4.71,0.72,0.58,2.96,4.88,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694165042261
281.76,512.41,61.28,141.13,68.98,120.65,166.77,167.17,292.26,286.1,8.39,18.26,78.29,78.51,2026.21,2402.06,3.32,6.43,22.5,32.07,1.29,0.69,37.69,33.52,2.79,4.64,0.71,0.58,2.94,4.86,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694165046487
279.15,509.04,60.27,129.23,69.01,115.1,165.02,166.53,291.75,285.22,8.04,17.69,77.78,77.97,1991.56,2322.16,3.23,6.29,22.32,30.87,1.27,0.67,37.22,33.12,2.77,4.52,0.7,0.57,2.9,4.74,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694165050713
279.33,508.42,63.8,125.64,72.03,114.39,165.03,166.92,290.98,286.06,8.14,17.56,77.53,78.73,1992.98,2283.39,3.28,6.26,22.68,30.36,1.27,0.67,36.84,32.71,2.74,4.57,0.68,0.55,2.91,4.75,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694165054939
280.1,515.28,67.05,120.87,77.92,114.73,165.03,168.01,291.7,287.52,8.12,18.5,77.56,78.88,1920.9,2132.8,3.22,6.54,23.36,30.19,1.25,0.68,35.88,31.81,2.73,4.73,0.65,0.53,2.89,4.92,33.5,33.5,33.5,33.5,33.5,33.5,33.5,0.0,0.0,1694165063389
